IoHxJX92FEg	Dance4MyFans	1132	People|Blogs	217	1157	3.6	5	3
P7GBN4FiNDg	RopVid	1031	Comedy	426	667	4	4	4
GAP-8FZw3uw	cequeradz	1131	Entertainment	237	1063	0	0	1
O3Xp3-RYSu8	Moocows101	1130	Comedy	294	274	1	1	2
gujUKcGpQEo	SingwellaDeb	1072	Comedy	109	48	5	2	1
7p9B-bm3sgY	thepajamaclub	1131	People|Blogs	263	62	5	4	5
rNAiPyCwfOA	magicgeekinc	956	Howto|Style	34	3437	4.7	20	1
fA6locgKFN0	EricandBen	1094	Comedy	50	385	2.71	7	9
2soQkqwr4dU	KCdreamfactor	1125	Comedy	251	91	5	1	1
MdYXzSo0GZ4	shabshafter	1100	Comedy	145	209	5	1	0
DJDy1_6ewUY	darebear2007	1130	Comedy	150	21	0	0	0
RjkPLSw_8sQ	thatcrazygirl44	1151	Comedy	19	189	5	1	0
UPIKFiJuiG0	ellierandacatMAGIC	1131	Entertainment	14	91	0	0	0
BOg-nMiqd8I	MMaxwell	606	Comedy	284	1146	4.5	2	1
ZvKzipJ4-cA	acektrance	1239	Music	210	8483	4.85	13	7
VvxFy25gPnQ	kyu508	1236	Entertainment	134	3524	4.95	57	39
7lnOPtpq1tY	iwillstand4u	1237	Music	181	498	5	2	0
m5E1jZHibWk	vietgurlhelen	1236	Music	460	2514	4.55	11	5
sgcjkrZXLrw	booloveswondergirls	1237	Entertainment	196	1606	4.94	32	20
UBgkkaUSnsU	AndraFoxy	1217	Music	136	11838	4.85	27	32
9zTOgsNgizg	AndraFoxy	1215	Music	31	6586	4.73	15	8
yuP-JRxhUOg	anniieeL	1236	Entertainment	397	1893	4.95	22	6
zdrm6xOAE7c	nikki0313	1219	Entertainment	50	6966	4	6	7
93BfFD85nW8	j3r4h	1235	Entertainment	261	726	5	1	13
6BjqT5KTbFQ	nGhibudDy	1237	Music	445	528	5	11	8
OIhV2IjABGI	saranghaesuju4ever	1237	Music	200	524	5	2	3
9tH_DmK2lBk	strawberyvanilla	1236	Entertainment	184	504	5	5	2
nEeX_fMoJWY	calixogirl	1240	Entertainment	271	8820	3.98	61	110
ytZ-RYW2l_c	walsby93	1235	Music	217	2505	3.83	12	23
sT5OpOukBEo	tessaceleste	1244	People|Blogs	50	1237	4.33	52	60
xyPLxb4on8M	tessaceleste	1235	Comedy	110	1324	4.95	20	22
