2975,645.11
9466,729.8
3072,1057.46
4926,446.51
24,385.47
4162,411.49
7584,1047.97
9052,523.19
3939,196.51
5165,960.97
5260,822.74
9227,631.58
3236,817.35
8029,820.15
7511,693.5
3909,135.82
3297,374.41
7433,191.8
8344,312.58
3983,548.72
3228,802.09
6463,939.13
9720,1081.75
9705,275.7
1322,1082.34
4462,478.91
1797,490.95
3310,857.99
4748,245.71
8538,959.92
6500,678.52
1928,919.13
9351,259.68
5111,270.07
6043,922.84
721,176.76
2418,659.1
8549,276.24
4202,696.94
5668,460.21
7071,1091.11
5531,1096.0
4717,740.06
7852,711.14
3221,460.44
7207,649.35
5767,320.71
7103,1079.62
1667,310.88
8611,830.17
2123,938.58
6471,414.16
9526,935.32
926,958.37
4822,392.5
282,182.27
2989,180.13
2599,170.6
2975,801.48
9093,117.62
6716,643.08
4590,419.6
8921,999.99
1183,922.43
3987,409.34
5107,158.93
2119,937.82
6840,833.76
3255,994.26
1635,112.54
2394,452.35
9490,643.86
5273,785.48
3146,202.39
6838,322.59
3573,983.02
3583,525.35
6625,676.15
9134,108.41
1044,748.72
7317,372.07
5449,455.86
5416,554.41
6617,1092.77
7043,252.16
412,406.89
1092,975.85
626,591.02
7640,550.12
450,581.4
1870,222.21
1670,1088.58
2447,111.93
8273,889.06
5917,310.65
3347,163.31
3473,821.79
3530,622.88
4855,969.27
9210,738.31
3643,374.59
2337,714.91
1295,639.87
6342,905.94
9310,405.71
3493,682.75
3115,935.54
6083,768.54
169,931.99
6695,1092.92
2712,439.69
2482,740.43
1110,122.22
6463,1032.74
2584,467.2
3738,397.06
2752,408.3
6977,1092.54
7210,853.01
849,1005.98
7487,946.13
8313,974.93
3831,514.62
8345,286.06
607,226.4
5319,1027.67
9159,951.06
4690,889.01
7727,616.73
4514,1024.39
6524,933.81
6887,812.48
2863,515.27
3512,238.48
4814,1072.34
1707,272.48
4322,715.18
4375,716.87
3961,170.98
4616,847.22
8185,537.17
9356,1030.1
7062,513.09
6859,1071.99
1864,838.87
6200,219.9
661,827.39
9380,509.04
4701,295.59
9729,757.85
3018,533.29
3494,780.63
5981,425.76
9921,263.15
4565,165.42
7053,172.23
996,136.84
3916,744.9
9778,716.26
7093,311.86
2273,485.53
845,818.58
8248,492.97
29,242.14
5567,600.62
9022,782.12
3222,847.25
3505,720.24
2220,971.56
4656,737.48
2025,350.46
6083,803.05
5022,753.53
8734,1082.07
